Title,Price,Rating,Reviews,Brand,Product Link
A Court of Thorns and Roses,8.21,4.6,273012,,https://www.amazon.com/Court-Thorns-Roses-Sarah-Maas-ebook/dp/B00OZP5VRS/ref=sr_1_16?dib=eyJ2IjoiMSJ9.DrkD9g57kucRzNOYtS1yyg7xtQL6Og0cKTl14QzYfsY38d3JY1Mzgc2aQAyrI_ty9_ceseVVIvRe0Xm_KBeXolRGSJIfYwhcnZX4EnRiZYRDMpisUnnb4EueoKgL_gDQKy8mvhFerxKDSgwHwAf3OUm-aS02Xwa__FSb9ui3N7IZAzC6xqoOyNIYcugzsZcw5dMQrdFCnlNB14krrQzpJYzwe_m3l9f3U39byinFQF6jv1RY-WGAE8lLw3R2b2s8THf3OqxrLJ8W5o3ag6s9NhIT8BYJtx7YrtjflgXE_Shk8TcbsYgb6HXPibTzdiIBFoMJ_INj36K3c6tMDAHQzx6-GDi5_Vdw__1BJJdkADw8FeoWKf4Jpv8xrBBdfSG7F1ZAzI6FJVU50GO8fkI4p-cveiDjrGUUaMjMF-Fta8Ddpmwlslu72Z64MdULwhBQ.rvf-vr_4wZUEMcfLjXEwED85S4A4RHmDPrO_Ot5lBIE&dib_tag=se&keywords=fiction&qid=1742808392&sr=8-16
The Housemaid,0.0,4.5,476705,,https://www.amazon.com/Audible-The-Housemaid/dp/B09XRF2SWN/ref=sr_1_18?dib=eyJ2IjoiMSJ9.DrkD9g57kucRzNOYtS1yyg7xtQL6Og0cKTl14QzYfsY38d3JY1Mzgc2aQAyrI_ty9_ceseVVIvRe0Xm_KBeXolRGSJIfYwhcnZX4EnRiZYRDMpisUnnb4EueoKgL_gDQKy8mvhFerxKDSgwHwAf3OUm-aS02Xwa__FSb9ui3N7IZAzC6xqoOyNIYcugzsZcw5dMQrdFCnlNB14krrQzpJYzwe_m3l9f3U39byinFQF6jv1RY-WGAE8lLw3R2b2s8THf3OqxrLJ8W5o3ag6s9NhIT8BYJtx7YrtjflgXE_Shk8TcbsYgb6HXPibTzdiIBFoMJ_INj36K3c6tMDAHQzx6-GDi5_Vdw__1BJJdkADw8FeoWKf4Jpv8xrBBdfSG7F1ZAzI6FJVU50GO8fkI4p-cveiDjrGUUaMjMF-Fta8Ddpmwlslu72Z64MdULwhBQ.rvf-vr_4wZUEMcfLjXEwED85S4A4RHmDPrO_Ot5lBIE&dib_tag=se&keywords=fiction&qid=1742808392&sr=8-18
American Fiction,3.99,4.6,2023,,https://www.amazon.com/American-Fiction-Jeffrey-Wright/dp/B0CQKSZW2D/ref=sr_1_19?dib=eyJ2IjoiMSJ9.DrkD9g57kucRzNOYtS1yyg7xtQL6Og0cKTl14QzYfsY38d3JY1Mzgc2aQAyrI_ty9_ceseVVIvRe0Xm_KBeXolRGSJIfYwhcnZX4EnRiZYRDMpisUnnb4EueoKgL_gDQKy8mvhFerxKDSgwHwAf3OUm-aS02Xwa__FSb9ui3N7IZAzC6xqoOyNIYcugzsZcw5dMQrdFCnlNB14krrQzpJYzwe_m3l9f3U39byinFQF6jv1RY-WGAE8lLw3R2b2s8THf3OqxrLJ8W5o3ag6s9NhIT8BYJtx7YrtjflgXE_Shk8TcbsYgb6HXPibTzdiIBFoMJ_INj36K3c6tMDAHQzx6-GDi5_Vdw__1BJJdkADw8FeoWKf4Jpv8xrBBdfSG7F1ZAzI6FJVU50GO8fkI4p-cveiDjrGUUaMjMF-Fta8Ddpmwlslu72Z64MdULwhBQ.rvf-vr_4wZUEMcfLjXEwED85S4A4RHmDPrO_Ot5lBIE&dib_tag=se&keywords=fiction&qid=1742808392&sr=8-19
The Return Flight: A Space Exploration Philosophical Fiction Novelette (13 Acorns- Modern Short Stories for Thoughtful Adults),0.0,4.8,9,,https://www.amazon.com/Return-Flight-astronauts-impossible-Thoughtful-ebook/dp/B0C4BFHGGR/ref=sr_1_26?dib=eyJ2IjoiMSJ9.DrkD9g57kucRzNOYtS1yyg7xtQL6Og0cKTl14QzYfsY38d3JY1Mzgc2aQAyrI_ty9_ceseVVIvRe0Xm_KBeXolRGSJIfYwhcnZX4EnRiZYRDMpisUnnb4EueoKgL_gDQKy8mvhFerxKDSgwHwAf3OUm-aS02Xwa__FSb9ui3N7IZAzC6xqoOyNIYcugzsZcw5dMQrdFCnlNB14krrQzpJYzwe_m3l9f3U39byinFQF6jv1RY-WGAE8lLw3R2b2s8THf3OqxrLJ8W5o3ag6s9NhIT8BYJtx7YrtjflgXE_Shk8TcbsYgb6HXPibTzdiIBFoMJ_INj36K3c6tMDAHQzx6-GDi5_Vdw__1BJJdkADw8FeoWKf4Jpv8xrBBdfSG7F1ZAzI6FJVU50GO8fkI4p-cveiDjrGUUaMjMF-Fta8Ddpmwlslu72Z64MdULwhBQ.rvf-vr_4wZUEMcfLjXEwED85S4A4RHmDPrO_Ot5lBIE&dib_tag=se&keywords=fiction&qid=1742808392&sr=8-26
Pulp Fiction,,4.8,1994,,https://www.amazon.com/Pulp-Fiction-Quentin-Tarantino/dp/B0DT6JWBPJ/ref=sr_1_40?dib=eyJ2IjoiMSJ9.DrkD9g57kucRzNOYtS1yyg7xtQL6Og0cKTl14QzYfsY38d3JY1Mzgc2aQAyrI_ty9_ceseVVIvRe0Xm_KBeXolRGSJIfYwhcnZX4EnRiZYRDMpisUnnb4EueoKgL_gDQKy8mvhFerxKDSgwHwAf3OUm-aS02Xwa__FSb9ui3N7IZAzC6xqoOyNIYcugzsZcw5dMQrdFCnlNB14krrQzpJYzwe_m3l9f3U39byinFQF6jv1RY-WGAE8lLw3R2b2s8THf3OqxrLJ8W5o3ag6s9NhIT8BYJtx7YrtjflgXE_Shk8TcbsYgb6HXPibTzdiIBFoMJ_INj36K3c6tMDAHQzx6-GDi5_Vdw__1BJJdkADw8FeoWKf4Jpv8xrBBdfSG7F1ZAzI6FJVU50GO8fkI4p-cveiDjrGUUaMjMF-Fta8Ddpmwlslu72Z64MdULwhBQ.rvf-vr_4wZUEMcfLjXEwED85S4A4RHmDPrO_Ot5lBIE&dib_tag=se&keywords=fiction&qid=1742808392&sr=8-40
Tell Me Everything: A Novel,0.0,4.3,19126,,https://www.amazon.com/Tell-Me-Everything-A-Novel/dp/B0CRZFH8DP/ref=sr_1_42?dib=eyJ2IjoiMSJ9.DrkD9g57kucRzNOYtS1yyg7xtQL6Og0cKTl14QzYfsY38d3JY1Mzgc2aQAyrI_ty9_ceseVVIvRe0Xm_KBeXolRGSJIfYwhcnZX4EnRiZYRDMpisUnnb4EueoKgL_gDQKy8mvhFerxKDSgwHwAf3OUm-aS02Xwa__FSb9ui3N7IZAzC6xqoOyNIYcugzsZcw5dMQrdFCnlNB14krrQzpJYzwe_m3l9f3U39byinFQF6jv1RY-WGAE8lLw3R2b2s8THf3OqxrLJ8W5o3ag6s9NhIT8BYJtx7YrtjflgXE_Shk8TcbsYgb6HXPibTzdiIBFoMJ_INj36K3c6tMDAHQzx6-GDi5_Vdw__1BJJdkADw8FeoWKf4Jpv8xrBBdfSG7F1ZAzI6FJVU50GO8fkI4p-cveiDjrGUUaMjMF-Fta8Ddpmwlslu72Z64MdULwhBQ.rvf-vr_4wZUEMcfLjXEwED85S4A4RHmDPrO_Ot5lBIE&dib_tag=se&keywords=fiction&qid=1742808392&sr=8-42
Now or Never,0.0,4.7,16947,,https://www.amazon.com/Audible-Now-or-Never/dp/B0CVHJCN5Q/ref=sr_1_43?dib=eyJ2IjoiMSJ9.DrkD9g57kucRzNOYtS1yyg7xtQL6Og0cKTl14QzYfsY38d3JY1Mzgc2aQAyrI_ty9_ceseVVIvRe0Xm_KBeXolRGSJIfYwhcnZX4EnRiZYRDMpisUnnb4EueoKgL_gDQKy8mvhFerxKDSgwHwAf3OUm-aS02Xwa__FSb9ui3N7IZAzC6xqoOyNIYcugzsZcw5dMQrdFCnlNB14krrQzpJYzwe_m3l9f3U39byinFQF6jv1RY-WGAE8lLw3R2b2s8THf3OqxrLJ8W5o3ag6s9NhIT8BYJtx7YrtjflgXE_Shk8TcbsYgb6HXPibTzdiIBFoMJ_INj36K3c6tMDAHQzx6-GDi5_Vdw__1BJJdkADw8FeoWKf4Jpv8xrBBdfSG7F1ZAzI6FJVU50GO8fkI4p-cveiDjrGUUaMjMF-Fta8Ddpmwlslu72Z64MdULwhBQ.rvf-vr_4wZUEMcfLjXEwED85S4A4RHmDPrO_Ot5lBIE&dib_tag=se&keywords=fiction&qid=1742808392&sr=8-43
The Waiting: A Ballard and Bosch Novel (A Renée Ballard and Harry Bosch Novel Book 6),14.99,4.6,41257,,https://www.amazon.com/Waiting-Ballard-Bosch-Novel-Ren%C3%A9e-ebook/dp/B0CTH8GBH3/ref=sr_1_47?dib=eyJ2IjoiMSJ9.DrkD9g57kucRzNOYtS1yyg7xtQL6Og0cKTl14QzYfsY38d3JY1Mzgc2aQAyrI_ty9_ceseVVIvRe0Xm_KBeXolRGSJIfYwhcnZX4EnRiZYRDMpisUnnb4EueoKgL_gDQKy8mvhFerxKDSgwHwAf3OUm-aS02Xwa__FSb9ui3N7IZAzC6xqoOyNIYcugzsZcw5dMQrdFCnlNB14krrQzpJYzwe_m3l9f3U39byinFQF6jv1RY-WGAE8lLw3R2b2s8THf3OqxrLJ8W5o3ag6s9NhIT8BYJtx7YrtjflgXE_Shk8TcbsYgb6HXPibTzdiIBFoMJ_INj36K3c6tMDAHQzx6-GDi5_Vdw__1BJJdkADw8FeoWKf4Jpv8xrBBdfSG7F1ZAzI6FJVU50GO8fkI4p-cveiDjrGUUaMjMF-Fta8Ddpmwlslu72Z64MdULwhBQ.rvf-vr_4wZUEMcfLjXEwED85S4A4RHmDPrO_Ot5lBIE&dib_tag=se&keywords=fiction&qid=1742808392&sr=8-47
Pulp Fiction,13.99,4.8,2635,,https://www.amazon.com/Pulp-Fiction-John-Travolta/dp/B0BBHBD4DY/ref=sr_1_49?dib=eyJ2IjoiMSJ9.OA_5t2LgNBXWQw44Kd3h3AX6xeW2jwQA_J0P3QFYeNsXgven2GupHoTxIUq8D_MtaxXa2NWBAZDgcKY32-WhVA1MgG8U2rQNCK9mMdILfmX8WVzf52OKuUFKFYnehskxgLix_SBvet6NLuWEeCDkhXycm2BV7jVnTiBCaoBQoC6Rq1nnBiNdnAhDogu4jbc4uAUy_YonZhOHNWZl-YqnW7sOjI25MyCwBOY5u19PueSRLiqFFbEoTwQky25RFKyFxZTZBmEtQ6GXQtlIinACU1R2eNRxARb-eViQhGJtHyx0E6HZUpRSub9z_3UpRao80uh_j1pcsEtSbqX7ZNBLEGi3QLMMvJRWkWvWW_EKFQd6BVxjbdN2tawsHTTwC2RKf8KfUUYH1zh4vSIaP3Px3JyF8_piJqodVOzFcURsmXZzOG_yxP1cgax-jcFFv4ZQ.HtdTzDdeZ2CUqkgSAG4hwjfNgObcqxGMbZdRApHWA8E&dib_tag=se&keywords=fiction&qid=1742808439&sr=8-49
Paranoia: A Michael Bennett Thriller,14.99,4.6,6178,,https://www.amazon.com/Paranoia-Beloved-Fiction-Michael-Thriller-ebook/dp/B0D5X1TR1Z/ref=sr_1_54?dib=eyJ2IjoiMSJ9.OA_5t2LgNBXWQw44Kd3h3AX6xeW2jwQA_J0P3QFYeNsXgven2GupHoTxIUq8D_MtaxXa2NWBAZDgcKY32-WhVA1MgG8U2rQNCK9mMdILfmX8WVzf52OKuUFKFYnehskxgLix_SBvet6NLuWEeCDkhXycm2BV7jVnTiBCaoBQoC6Rq1nnBiNdnAhDogu4jbc4uAUy_YonZhOHNWZl-YqnW7sOjI25MyCwBOY5u19PueSRLiqFFbEoTwQky25RFKyFxZTZBmEtQ6GXQtlIinACU1R2eNRxARb-eViQhGJtHyx0E6HZUpRSub9z_3UpRao80uh_j1pcsEtSbqX7ZNBLEGi3QLMMvJRWkWvWW_EKFQd6BVxjbdN2tawsHTTwC2RKf8KfUUYH1zh4vSIaP3Px3JyF8_piJqodVOzFcURsmXZzOG_yxP1cgax-jcFFv4ZQ.HtdTzDdeZ2CUqkgSAG4hwjfNgObcqxGMbZdRApHWA8E&dib_tag=se&keywords=fiction&qid=1742808439&sr=8-54
