Title,Price,Rating,Reviews,Brand,Product Link
DEWALT,599.0,4.6,2768,DEWALT,https://www.amazon.com/DEWALT-DCK940D2-Lithium-9-Tool-Combo/dp/B018TM1Q80/ref=sr_1_2?dib=eyJ2IjoiMSJ9.4RSDbZf6BwQUhByDDuPSfOW6d7sPLwkWQHv5PnKJEMD5qmMnE9NGECDQBVKAC_j_c7t_v1lBY0O6L78I_ia-iBUdXHOM5o-QCKBMOznMNtNwJRJjEZGGwo14pVr2Kriu_wxMg3bMYNVHu58cSCE1boh1LVAe8z1p5W5PLfv-F5TkXwFqiIq9WuEb-s7usI6bSvkyO6_yVvldCTG_utwYPnArRA1uumqgKb8ddV9aZl1zxMWKzB83DaB2VVPtn1acdCmBCVmRdZrfi1qhbxRpGhp9N6gd8_jIhdSs_zmeEGNIJj5Q--5HqdmlTSt1cssPc-PL97m1nOv1fyZTbKIRHbFsxOl7FVkWRCZpnm08Fh2D4kRZE9hSJUyURALI1sruLb6Z36GAKoDIJ5gJYNRh_EKjyHD9pC_xMcJdeqojpmHFmBbhGa41n-LLonqI0SCB.gu9QEP1CNSij84IuXu4gALHGWrzLICRXFLW71Ryyx3A&dib_tag=se&keywords=power+tools&qid=1742808186&sr=8-2
DEWALT,,4.7,850,DEWALT,https://www.amazon.com/DEWALT-Cordless-Drill-5-Tool-DCK551D1M1/dp/B0858J4BTK/ref=sr_1_3?dib=eyJ2IjoiMSJ9.4RSDbZf6BwQUhByDDuPSfOW6d7sPLwkWQHv5PnKJEMD5qmMnE9NGECDQBVKAC_j_c7t_v1lBY0O6L78I_ia-iBUdXHOM5o-QCKBMOznMNtNwJRJjEZGGwo14pVr2Kriu_wxMg3bMYNVHu58cSCE1boh1LVAe8z1p5W5PLfv-F5TkXwFqiIq9WuEb-s7usI6bSvkyO6_yVvldCTG_utwYPnArRA1uumqgKb8ddV9aZl1zxMWKzB83DaB2VVPtn1acdCmBCVmRdZrfi1qhbxRpGhp9N6gd8_jIhdSs_zmeEGNIJj5Q--5HqdmlTSt1cssPc-PL97m1nOv1fyZTbKIRHbFsxOl7FVkWRCZpnm08Fh2D4kRZE9hSJUyURALI1sruLb6Z36GAKoDIJ5gJYNRh_EKjyHD9pC_xMcJdeqojpmHFmBbhGa41n-LLonqI0SCB.gu9QEP1CNSij84IuXu4gALHGWrzLICRXFLW71Ryyx3A&dib_tag=se&keywords=power+tools&qid=1742808186&sr=8-3
"Tool Set - Tool Kit with 8V Cordless Drill, 132 Piece Tool Box with Drill, Home Tool Kits for Men & Women, Hand Drill Set Perfect for Homeowner, Diyer, Handyman - Red",,4.8,450,,https://www.amazon.com/Tool-Set-Cordless-Homeowner-Handyman/dp/B0DHP8WXMF/ref=sr_1_4?dib=eyJ2IjoiMSJ9.4RSDbZf6BwQUhByDDuPSfOW6d7sPLwkWQHv5PnKJEMD5qmMnE9NGECDQBVKAC_j_c7t_v1lBY0O6L78I_ia-iBUdXHOM5o-QCKBMOznMNtNwJRJjEZGGwo14pVr2Kriu_wxMg3bMYNVHu58cSCE1boh1LVAe8z1p5W5PLfv-F5TkXwFqiIq9WuEb-s7usI6bSvkyO6_yVvldCTG_utwYPnArRA1uumqgKb8ddV9aZl1zxMWKzB83DaB2VVPtn1acdCmBCVmRdZrfi1qhbxRpGhp9N6gd8_jIhdSs_zmeEGNIJj5Q--5HqdmlTSt1cssPc-PL97m1nOv1fyZTbKIRHbFsxOl7FVkWRCZpnm08Fh2D4kRZE9hSJUyURALI1sruLb6Z36GAKoDIJ5gJYNRh_EKjyHD9pC_xMcJdeqojpmHFmBbhGa41n-LLonqI0SCB.gu9QEP1CNSij84IuXu4gALHGWrzLICRXFLW71Ryyx3A&dib_tag=se&keywords=power+tools&qid=1742808186&sr=8-4
DEWALT,199.0,4.8,10323,DEWALT,https://www.amazon.com/DEWALT-Oscillating-Tool-3-Speed-DCS356C1/dp/B085B253MD/ref=sr_1_6?dib=eyJ2IjoiMSJ9.4RSDbZf6BwQUhByDDuPSfOW6d7sPLwkWQHv5PnKJEMD5qmMnE9NGECDQBVKAC_j_c7t_v1lBY0O6L78I_ia-iBUdXHOM5o-QCKBMOznMNtNwJRJjEZGGwo14pVr2Kriu_wxMg3bMYNVHu58cSCE1boh1LVAe8z1p5W5PLfv-F5TkXwFqiIq9WuEb-s7usI6bSvkyO6_yVvldCTG_utwYPnArRA1uumqgKb8ddV9aZl1zxMWKzB83DaB2VVPtn1acdCmBCVmRdZrfi1qhbxRpGhp9N6gd8_jIhdSs_zmeEGNIJj5Q--5HqdmlTSt1cssPc-PL97m1nOv1fyZTbKIRHbFsxOl7FVkWRCZpnm08Fh2D4kRZE9hSJUyURALI1sruLb6Z36GAKoDIJ5gJYNRh_EKjyHD9pC_xMcJdeqojpmHFmBbhGa41n-LLonqI0SCB.gu9QEP1CNSij84IuXu4gALHGWrzLICRXFLW71Ryyx3A&dib_tag=se&keywords=power+tools&qid=1742808186&sr=8-6
Milwaukee,,4.7,495,Milwaukee,https://www.amazon.com/Milwaukee-3697-22-Lithium-Ion-Brushless-Batteries/dp/B0BB8FDVLQ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.4RSDbZf6BwQUhByDDuPSfOW6d7sPLwkWQHv5PnKJEMD5qmMnE9NGECDQBVKAC_j_c7t_v1lBY0O6L78I_ia-iBUdXHOM5o-QCKBMOznMNtNwJRJjEZGGwo14pVr2Kriu_wxMg3bMYNVHu58cSCE1boh1LVAe8z1p5W5PLfv-F5TkXwFqiIq9WuEb-s7usI6bSvkyO6_yVvldCTG_utwYPnArRA1uumqgKb8ddV9aZl1zxMWKzB83DaB2VVPtn1acdCmBCVmRdZrfi1qhbxRpGhp9N6gd8_jIhdSs_zmeEGNIJj5Q--5HqdmlTSt1cssPc-PL97m1nOv1fyZTbKIRHbFsxOl7FVkWRCZpnm08Fh2D4kRZE9hSJUyURALI1sruLb6Z36GAKoDIJ5gJYNRh_EKjyHD9pC_xMcJdeqojpmHFmBbhGa41n-LLonqI0SCB.gu9QEP1CNSij84IuXu4gALHGWrzLICRXFLW71Ryyx3A&dib_tag=se&keywords=power+tools&qid=1742808186&sr=8-7
DEWALT,99.0,4.7,10178,DEWALT,https://www.amazon.com/DEWALT-DCS391B-20-Volt-Li-Ion-Circular/dp/B007NVSTO8/ref=sr_1_8?dib=eyJ2IjoiMSJ9.4RSDbZf6BwQUhByDDuPSfOW6d7sPLwkWQHv5PnKJEMD5qmMnE9NGECDQBVKAC_j_c7t_v1lBY0O6L78I_ia-iBUdXHOM5o-QCKBMOznMNtNwJRJjEZGGwo14pVr2Kriu_wxMg3bMYNVHu58cSCE1boh1LVAe8z1p5W5PLfv-F5TkXwFqiIq9WuEb-s7usI6bSvkyO6_yVvldCTG_utwYPnArRA1uumqgKb8ddV9aZl1zxMWKzB83DaB2VVPtn1acdCmBCVmRdZrfi1qhbxRpGhp9N6gd8_jIhdSs_zmeEGNIJj5Q--5HqdmlTSt1cssPc-PL97m1nOv1fyZTbKIRHbFsxOl7FVkWRCZpnm08Fh2D4kRZE9hSJUyURALI1sruLb6Z36GAKoDIJ5gJYNRh_EKjyHD9pC_xMcJdeqojpmHFmBbhGa41n-LLonqI0SCB.gu9QEP1CNSij84IuXu4gALHGWrzLICRXFLW71Ryyx3A&dib_tag=se&keywords=power+tools&qid=1742808186&sr=8-8
DEWALT,103.99,4.8,13300,DEWALT,https://www.amazon.com/DEWALT-DCS356B-Variable-Oscillating-Multi-Tool/dp/B07VBB55X5/ref=sr_1_9?dib=eyJ2IjoiMSJ9.4RSDbZf6BwQUhByDDuPSfOW6d7sPLwkWQHv5PnKJEMD5qmMnE9NGECDQBVKAC_j_c7t_v1lBY0O6L78I_ia-iBUdXHOM5o-QCKBMOznMNtNwJRJjEZGGwo14pVr2Kriu_wxMg3bMYNVHu58cSCE1boh1LVAe8z1p5W5PLfv-F5TkXwFqiIq9WuEb-s7usI6bSvkyO6_yVvldCTG_utwYPnArRA1uumqgKb8ddV9aZl1zxMWKzB83DaB2VVPtn1acdCmBCVmRdZrfi1qhbxRpGhp9N6gd8_jIhdSs_zmeEGNIJj5Q--5HqdmlTSt1cssPc-PL97m1nOv1fyZTbKIRHbFsxOl7FVkWRCZpnm08Fh2D4kRZE9hSJUyURALI1sruLb6Z36GAKoDIJ5gJYNRh_EKjyHD9pC_xMcJdeqojpmHFmBbhGa41n-LLonqI0SCB.gu9QEP1CNSij84IuXu4gALHGWrzLICRXFLW71Ryyx3A&dib_tag=se&keywords=power+tools&qid=1742808186&sr=8-9
DEWALT,179.0,4.6,2243,DEWALT,https://www.amazon.com/DEWALT-Brushless-Difficult-Materials-DCS438B/dp/B09TB7M842/ref=sr_1_10?dib=eyJ2IjoiMSJ9.4RSDbZf6BwQUhByDDuPSfOW6d7sPLwkWQHv5PnKJEMD5qmMnE9NGECDQBVKAC_j_c7t_v1lBY0O6L78I_ia-iBUdXHOM5o-QCKBMOznMNtNwJRJjEZGGwo14pVr2Kriu_wxMg3bMYNVHu58cSCE1boh1LVAe8z1p5W5PLfv-F5TkXwFqiIq9WuEb-s7usI6bSvkyO6_yVvldCTG_utwYPnArRA1uumqgKb8ddV9aZl1zxMWKzB83DaB2VVPtn1acdCmBCVmRdZrfi1qhbxRpGhp9N6gd8_jIhdSs_zmeEGNIJj5Q--5HqdmlTSt1cssPc-PL97m1nOv1fyZTbKIRHbFsxOl7FVkWRCZpnm08Fh2D4kRZE9hSJUyURALI1sruLb6Z36GAKoDIJ5gJYNRh_EKjyHD9pC_xMcJdeqojpmHFmBbhGa41n-LLonqI0SCB.gu9QEP1CNSij84IuXu4gALHGWrzLICRXFLW71Ryyx3A&dib_tag=se&keywords=power+tools&qid=1742808186&sr=8-10
Metabo HPT,109.0,4.6,11240,Metabo HPT,https://www.amazon.com/Metabo-HPT-C10FCGS-Compound-15-Amp/dp/B07PX44JQM/ref=sr_1_12?dib=eyJ2IjoiMSJ9.4RSDbZf6BwQUhByDDuPSfOW6d7sPLwkWQHv5PnKJEMD5qmMnE9NGECDQBVKAC_j_c7t_v1lBY0O6L78I_ia-iBUdXHOM5o-QCKBMOznMNtNwJRJjEZGGwo14pVr2Kriu_wxMg3bMYNVHu58cSCE1boh1LVAe8z1p5W5PLfv-F5TkXwFqiIq9WuEb-s7usI6bSvkyO6_yVvldCTG_utwYPnArRA1uumqgKb8ddV9aZl1zxMWKzB83DaB2VVPtn1acdCmBCVmRdZrfi1qhbxRpGhp9N6gd8_jIhdSs_zmeEGNIJj5Q--5HqdmlTSt1cssPc-PL97m1nOv1fyZTbKIRHbFsxOl7FVkWRCZpnm08Fh2D4kRZE9hSJUyURALI1sruLb6Z36GAKoDIJ5gJYNRh_EKjyHD9pC_xMcJdeqojpmHFmBbhGa41n-LLonqI0SCB.gu9QEP1CNSij84IuXu4gALHGWrzLICRXFLW71Ryyx3A&dib_tag=se&keywords=power+tools&qid=1742808186&sr=8-12
DEWALT,139.0,4.6,14801,DEWALT,https://www.amazon.com/DEWALT-DCC020IB-20V-Inflator-Bare/dp/B07H39S9JQ/ref=sr_1_14?dib=eyJ2IjoiMSJ9.4RSDbZf6BwQUhByDDuPSfOW6d7sPLwkWQHv5PnKJEMD5qmMnE9NGECDQBVKAC_j_c7t_v1lBY0O6L78I_ia-iBUdXHOM5o-QCKBMOznMNtNwJRJjEZGGwo14pVr2Kriu_wxMg3bMYNVHu58cSCE1boh1LVAe8z1p5W5PLfv-F5TkXwFqiIq9WuEb-s7usI6bSvkyO6_yVvldCTG_utwYPnArRA1uumqgKb8ddV9aZl1zxMWKzB83DaB2VVPtn1acdCmBCVmRdZrfi1qhbxRpGhp9N6gd8_jIhdSs_zmeEGNIJj5Q--5HqdmlTSt1cssPc-PL97m1nOv1fyZTbKIRHbFsxOl7FVkWRCZpnm08Fh2D4kRZE9hSJUyURALI1sruLb6Z36GAKoDIJ5gJYNRh_EKjyHD9pC_xMcJdeqojpmHFmBbhGa41n-LLonqI0SCB.gu9QEP1CNSij84IuXu4gALHGWrzLICRXFLW71Ryyx3A&dib_tag=se&keywords=power+tools&qid=1742808186&sr=8-14
